,DE_load_actual_entsoe_transparency,dt
0,,2014-12-31T23:00:00Z
1,41151.0,2015-01-01T00:00:00Z
2,40135.0,2015-01-01T01:00:00Z
3,39106.0,2015-01-01T02:00:00Z
4,38765.0,2015-01-01T03:00:00Z
5,38941.0,2015-01-01T04:00:00Z
6,39045.0,2015-01-01T05:00:00Z
7,40206.0,2015-01-01T06:00:00Z
8,41133.0,2015-01-01T07:00:00Z
9,42963.0,2015-01-01T08:00:00Z
10,45088.0,2015-01-01T09:00:00Z
11,47013.0,2015-01-01T10:00:00Z
12,48159.0,2015-01-01T11:00:00Z
13,47164.0,2015-01-01T12:00:00Z
14,46752.0,2015-01-01T13:00:00Z
15,47403.0,2015-01-01T14:00:00Z
16,49440.0,2015-01-01T15:00:00Z
17,53410.0,2015-01-01T16:00:00Z
18,53672.0,2015-01-01T17:00:00Z
19,53012.0,2015-01-01T18:00:00Z
20,50313.0,2015-01-01T19:00:00Z
21,48730.0,2015-01-01T20:00:00Z
22,48624.0,2015-01-01T21:00:00Z
23,45668.0,2015-01-01T22:00:00Z
24,42424.0,2015-01-01T23:00:00Z
25,40577.0,2015-01-02T00:00:00Z
26,39707.0,2015-01-02T01:00:00Z
27,39504.0,2015-01-02T02:00:00Z
28,40391.0,2015-01-02T03:00:00Z
29,42382.0,2015-01-02T04:00:00Z
30,45679.0,2015-01-02T05:00:00Z
31,50418.0,2015-01-02T06:00:00Z
32,54131.0,2015-01-02T07:00:00Z
33,56505.0,2015-01-02T08:00:00Z
34,58447.0,2015-01-02T09:00:00Z
35,59453.0,2015-01-02T10:00:00Z
36,59201.0,2015-01-02T11:00:00Z
37,58564.0,2015-01-02T12:00:00Z
38,57721.0,2015-01-02T13:00:00Z
39,57276.0,2015-01-02T14:00:00Z
40,58813.0,2015-01-02T15:00:00Z
41,61605.0,2015-01-02T16:00:00Z
42,61645.0,2015-01-02T17:00:00Z
43,59283.0,2015-01-02T18:00:00Z
44,55622.0,2015-01-02T19:00:00Z
45,53186.0,2015-01-02T20:00:00Z
46,50691.0,2015-01-02T21:00:00Z
47,45323.0,2015-01-02T22:00:00Z
48,40464.0,2015-01-02T23:00:00Z
49,38338.0,2015-01-03T00:00:00Z
50,36897.0,2015-01-03T01:00:00Z
51,36104.0,2015-01-03T02:00:00Z
52,36453.0,2015-01-03T03:00:00Z
53,36839.0,2015-01-03T04:00:00Z
54,38073.0,2015-01-03T05:00:00Z
55,40819.0,2015-01-03T06:00:00Z
56,44119.0,2015-01-03T07:00:00Z
57,47421.0,2015-01-03T08:00:00Z
58,49756.0,2015-01-03T09:00:00Z
59,51917.0,2015-01-03T10:00:00Z
60,52205.0,2015-01-03T11:00:00Z
61,52147.0,2015-01-03T12:00:00Z
62,50677.0,2015-01-03T13:00:00Z
63,50478.0,2015-01-03T14:00:00Z
64,52820.0,2015-01-03T15:00:00Z
65,55854.0,2015-01-03T16:00:00Z
66,56259.0,2015-01-03T17:00:00Z
67,55017.0,2015-01-03T18:00:00Z
68,50801.0,2015-01-03T19:00:00Z
69,48359.0,2015-01-03T20:00:00Z
70,47968.0,2015-01-03T21:00:00Z
71,45427.0,2015-01-03T22:00:00Z
72,42806.0,2015-01-03T23:00:00Z
73,38517.0,2015-01-04T00:00:00Z
74,37082.0,2015-01-04T01:00:00Z
75,36575.0,2015-01-04T02:00:00Z
76,36793.0,2015-01-04T03:00:00Z
77,36336.0,2015-01-04T04:00:00Z
78,35592.0,2015-01-04T05:00:00Z
79,38255.0,2015-01-04T06:00:00Z
80,41037.0,2015-01-04T07:00:00Z
81,43899.0,2015-01-04T08:00:00Z
82,46915.0,2015-01-04T09:00:00Z
83,50252.0,2015-01-04T10:00:00Z
84,50784.0,2015-01-04T11:00:00Z
85,48824.0,2015-01-04T12:00:00Z
86,47517.0,2015-01-04T13:00:00Z
87,47398.0,2015-01-04T14:00:00Z
88,49465.0,2015-01-04T15:00:00Z
89,53400.0,2015-01-04T16:00:00Z
90,54108.0,2015-01-04T17:00:00Z
91,52621.0,2015-01-04T18:00:00Z
92,50243.0,2015-01-04T19:00:00Z
93,48877.0,2015-01-04T20:00:00Z
94,48808.0,2015-01-04T21:00:00Z
95,46024.0,2015-01-04T22:00:00Z
96,42658.0,2015-01-04T23:00:00Z
97,40699.0,2015-01-05T00:00:00Z
98,39447.0,2015-01-05T01:00:00Z
99,39513.0,2015-01-05T02:00:00Z
100,40440.0,2015-01-05T03:00:00Z
101,43931.0,2015-01-05T04:00:00Z
102,50074.0,2015-01-05T05:00:00Z
103,56244.0,2015-01-05T06:00:00Z
104,59860.0,2015-01-05T07:00:00Z
105,61179.0,2015-01-05T08:00:00Z
106,62104.0,2015-01-05T09:00:00Z
107,63018.0,2015-01-05T10:00:00Z
108,62952.0,2015-01-05T11:00:00Z
109,62108.0,2015-01-05T12:00:00Z
110,61182.0,2015-01-05T13:00:00Z
111,60450.0,2015-01-05T14:00:00Z
112,61342.0,2015-01-05T15:00:00Z
113,65130.0,2015-01-05T16:00:00Z
114,64886.0,2015-01-05T17:00:00Z
115,63242.0,2015-01-05T18:00:00Z
116,59162.0,2015-01-05T19:00:00Z
117,56346.0,2015-01-05T20:00:00Z
118,54730.0,2015-01-05T21:00:00Z
119,50564.0,2015-01-05T22:00:00Z
120,47317.0,2015-01-05T23:00:00Z
121,45011.0,2015-01-06T00:00:00Z
122,44015.0,2015-01-06T01:00:00Z
123,44049.0,2015-01-06T02:00:00Z
124,44730.0,2015-01-06T03:00:00Z
125,46416.0,2015-01-06T04:00:00Z
126,50597.0,2015-01-06T05:00:00Z
127,55697.0,2015-01-06T06:00:00Z
128,57954.0,2015-01-06T07:00:00Z
129,59295.0,2015-01-06T08:00:00Z
130,60723.0,2015-01-06T09:00:00Z
131,61744.0,2015-01-06T10:00:00Z
132,61628.0,2015-01-06T11:00:00Z
133,60697.0,2015-01-06T12:00:00Z
134,59259.0,2015-01-06T13:00:00Z
135,58836.0,2015-01-06T14:00:00Z
136,60089.0,2015-01-06T15:00:00Z
137,63969.0,2015-01-06T16:00:00Z
138,64219.0,2015-01-06T17:00:00Z
139,63346.0,2015-01-06T18:00:00Z
140,59695.0,2015-01-06T19:00:00Z
141,57114.0,2015-01-06T20:00:00Z
142,54886.0,2015-01-06T21:00:00Z
143,50639.0,2015-01-06T22:00:00Z
144,47308.0,2015-01-06T23:00:00Z
145,45125.0,2015-01-07T00:00:00Z
146,44217.0,2015-01-07T01:00:00Z
147,44368.0,2015-01-07T02:00:00Z
148,45298.0,2015-01-07T03:00:00Z
149,48598.0,2015-01-07T04:00:00Z
150,56626.0,2015-01-07T05:00:00Z
151,63293.0,2015-01-07T06:00:00Z
152,65964.0,2015-01-07T07:00:00Z
153,66400.0,2015-01-07T08:00:00Z
154,67746.0,2015-01-07T09:00:00Z
155,68507.0,2015-01-07T10:00:00Z
156,68100.0,2015-01-07T11:00:00Z
157,67248.0,2015-01-07T12:00:00Z
158,66044.0,2015-01-07T13:00:00Z
159,65496.0,2015-01-07T14:00:00Z
160,66191.0,2015-01-07T15:00:00Z
161,69647.0,2015-01-07T16:00:00Z
162,69425.0,2015-01-07T17:00:00Z
163,67467.0,2015-01-07T18:00:00Z
164,63605.0,2015-01-07T19:00:00Z
165,60469.0,2015-01-07T20:00:00Z
166,58348.0,2015-01-07T21:00:00Z
167,54070.0,2015-01-07T22:00:00Z
168,50460.0,2015-01-07T23:00:00Z
169,48041.0,2015-01-08T00:00:00Z
170,47074.0,2015-01-08T01:00:00Z
171,47228.0,2015-01-08T02:00:00Z
172,48253.0,2015-01-08T03:00:00Z
173,51155.0,2015-01-08T04:00:00Z
174,58605.0,2015-01-08T05:00:00Z
175,65447.0,2015-01-08T06:00:00Z
176,68569.0,2015-01-08T07:00:00Z
177,68599.0,2015-01-08T08:00:00Z
178,69484.0,2015-01-08T09:00:00Z
179,70635.0,2015-01-08T10:00:00Z
180,69962.0,2015-01-08T11:00:00Z
181,69062.0,2015-01-08T12:00:00Z
182,67835.0,2015-01-08T13:00:00Z
183,67765.0,2015-01-08T14:00:00Z
